0,"가파르게 치솟던 물가, 꺾인 걸까? ""기름값 빼고는 여전""",SBS 뉴스,no date,https://news.google.com./articles/CAIiEHdNhVFQ1iqShy-cec_ktp4qGQgEKhAIACoHCAow_L3zCjDDytMCMLXrrgM?uo=CAUiOmh0dHBzOi8vbmV3cy5zYnMuY28ua3IvbmV3cy9lbmRQYWdlLmRvP25ld3NfaWQ9TjEwMDY4ODM2MzPSAQA&hl=ko&gl=KR&ceid=KR%3Ako
1,"1월 물가 3.6%↑, 넉달째 3%대…2월엔 기름값 더 오른다(종합2보)",연합뉴스,2022-02-04T08:00:00,https://news.google.com./articles/CBMiL2h0dHBzOi8vd3d3LnluYS5jby5rci92aWV3L0FLUjIwMjIwMjA0MDIwNTU0MDAy0gExaHR0cHM6Ly9tLnluYS5jby5rci9hbXAvdmlldy9BS1IyMDIyMDIwNDAyMDU1NDAwMg?hl=ko&gl=KR&ceid=KR%3Ako
2,‘2591원 주유소’도 등장… 기름값 폭등에 물가 비상,국민일보,2022-02-28T08:00:00,https://news.google.com./articles/CBMiLmh0dHBzOi8vbS5rbWliLmNvLmtyL3ZpZXcuYXNwP2FyY2lkPTA5MjQyMzM2NDLSATJodHRwczovL20ua21pYi5jby5rci92aWV3X2FtcC5hc3A_YXJjaWQ9MDkyNDIzMzY0Mg?hl=ko&gl=KR&ceid=KR%3Ako
3,기름값이 끌어올린 물가…'유류세 카드'만으론 역부족,KBS뉴스,2022-03-04T08:00:00,https://news.google.com./articles/CBMiL2h0dHBzOi8vbmV3cy5rYnMuY28ua3IvbmV3cy92aWV3LmRvP25jZD01NDA5MTI00gEA?hl=ko&gl=KR&ceid=KR%3Ako
4,"[뉴스외전 경제 '쏙'] '우크라' 사태, 세계 경제 요동‥기름값·물가, 어디까지 오를까?",MBC뉴스,2022-03-04T08:00:00,https://news.google.com./articles/CBMiRWh0dHBzOi8vaW1uZXdzLmltYmMuY29tL3JlcGxheS8yMDIyL253MTQwMC9hcnRpY2xlLzYzNDcwMDNfMzU3MjIuaHRtbNIBRWh0dHBzOi8vaW1uZXdzLmltYmMuY29tL3JlcGxheS8yMDIyL253MTQwMC9hcnRpY2xlLzYzNDcwMDNfMzU3MjMuaHRtbA?hl=ko&gl=KR&ceid=KR%3Ako
5,"“기업도 물가 안정 협조하라”… ‘추경 중독’ 文정부, 인플레 기름 붓고 반성 없어 - 조선비즈",조선비즈,2022-03-04T08:00:00,https://news.google.com./articles/CBMiT2h0dHBzOi8vYml6LmNob3N1bi5jb20vcG9saWN5L3BvbGljeV9zdWIvMjAyMi8wMy8wNC81WFZGTENHSU81RUZWTFdMT1kyNVNJT0FXTS_SAV5odHRwczovL2Jpei5jaG9zdW4uY29tL3BvbGljeS9wb2xpY3lfc3ViLzIwMjIvMDMvMDQvNVhWRkxDR0lPNUVGVkxXTE9ZMjVTSU9BV00vP291dHB1dFR5cGU9YW1w?hl=ko&gl=KR&ceid=KR%3Ako
6,기름값 급등…소비자물가 상승률 4% '턱밑',SBS 뉴스,2022-03-04T19:51:00,https://news.google.com./articles/CAIiENuddJGXCzT2l8ynlUUDELwqGQgEKhAIACoHCAow_L3zCjDDytMCMO7Q9gY?uo=CAUiOmh0dHBzOi8vbmV3cy5zYnMuY28ua3IvbmV3cy9lbmRQYWdlLmRvP25ld3NfaWQ9TjEwMDY2NjQxMDHSAQA&hl=ko&gl=KR&ceid=KR%3Ako
7,소비자물가 상승률 4% '턱밑'…기름값 급등,SBS 뉴스,2022-03-05T08:00:00,https://news.google.com./articles/CAIiENGcPW19RlvvOLECLOEA4e8qGQgEKhAIACoHCAow_L3zCjDDytMCMO7Q9gY?uo=CAUiOmh0dHBzOi8vbmV3cy5zYnMuY28ua3IvbmV3cy9lbmRQYWdlLmRvP25ld3NfaWQ9TjEwMDY2NjQzNzjSAQA&hl=ko&gl=KR&ceid=KR%3Ako
8,"""기름값 때문에 어딜 갈 수가 없다""…전쟁만큼 무서운 `인플레 파도` 덮친 미국 [추적자 추기자]",매일경제,2022-03-12T08:00:00,https://news.google.com./articles/CBMiNWh0dHBzOi8vbS5tay5jby5rci9uZXdzL2J1c2luZXNzL3ZpZXcvMjAyMi8wMy8yMzA3OTEv0gE5aHR0cHM6Ly9tLm1rLmNvLmtyL25ld3MvYnVzaW5lc3Mvdmlldy1hbXAvMjAyMi8wMy8yMzA3OTEv?hl=ko&gl=KR&ceid=KR%3Ako
9,[윤석열 시대 개막] 우크라 사태로 치솟는 기름값·물가...첫 시험대 올라,아주경제,2022-03-14T07:00:00,https://news.google.com./articles/CAIiEBZyjBYzWSv9Yrw01Y8SenQqGAgEKg8IACoHCAowooqjAjD-pEAwgam4Bw?uo=CAUiLmh0dHBzOi8vd3d3LmFqdW5ld3MuY29tL3ZpZXcvMjAyMjAzMTMxMzU2NTIyMzLSAQA&hl=ko&gl=KR&ceid=KR%3Ako
